# name ra dec flux_a1100 flux_a1400 flux_a2000
src13257 269.30757 1.06492 0.154 0.093 0.038
src13258 269.69736 1.30420 0.154 0.081 0.028
src13259 269.47946 1.63560 0.154 0.076 0.025
src13260 269.10922 1.52595 0.154 0.078 0.027
src13261 269.23891 1.52070 0.154 0.086 0.032
src13262 269.61436 1.70258 0.154 0.081 0.029
src13263 269.41264 1.19276 0.154 0.074 0.024
src13264 269.24457 1.08289 0.154 0.071 0.022
src13265 269.33131 1.29032 0.154 0.073 0.023
src13266 269.20980 1.16997 0.154 0.078 0.027
src13267 269.01242 1.31885 0.154 0.086 0.032
src13268 269.58708 1.28338 0.154 0.076 0.025
src13269 269.29623 1.44635 0.154 0.071 0.022
src13270 269.23385 1.49221 0.154 0.094 0.039
src13271 269.70211 1.41660 0.154 0.074 0.024
src13272 269.10376 1.04009 0.154 0.085 0.032
src13273 269.32894 1.12758 0.154 0.073 0.023
src13274 269.53951 1.01577 0.154 0.105 0.048
src13275 269.57440 1.36516 0.154 0.072 0.023
src13276 269.05905 1.33671 0.154 0.073 0.023
src13277 269.25028 1.35861 0.154 0.074 0.024
src13278 269.24111 1.45232 0.154 0.086 0.033
src13279 269.47544 1.13646 0.154 0.075 0.024
src13280 269.01459 1.43204 0.154 0.071 0.022
src13281 269.40766 1.63401 0.154 0.078 0.027
src13282 269.35949 1.26406 0.154 0.073 0.023
src13283 269.50387 1.35797 0.154 0.076 0.025
src13284 269.36084 1.47944 0.154 0.102 0.046
src13285 269.34450 1.29110 0.154 0.075 0.025
src13286 269.61029 1.05847 0.154 0.081 0.029
src13287 269.19599 1.39772 0.154 0.072 0.023
src13288 269.08644 1.08141 0.154 0.084 0.031
src13289 269.45740 1.46398 0.154 0.078 0.027
src13290 269.45866 1.27678 0.154 0.100 0.044
src13291 269.16378 1.26277 0.154 0.073 0.023
src13292 269.04903 1.08202 0.154 0.078 0.027
src13293 269.58438 1.57109 0.154 0.076 0.025
src13294 269.27599 1.18720 0.153 0.073 0.023
src13295 269.33923 1.35740 0.153 0.078 0.027
src13296 269.61188 1.09472 0.153 0.071 0.022
src13297 269.29994 1.01075 0.153 0.078 0.026
src13298 269.46341 1.35953 0.153 0.079 0.028
src13299 269.29815 1.46516 0.153 0.080 0.028
src13300 269.34143 1.17005 0.153 0.073 0.023
src13301 269.23960 1.43896 0.153 0.075 0.025
src13302 269.24589 1.35608 0.153 0.081 0.028
src13303 269.55626 1.32603 0.153 0.073 0.023
src13304 269.06005 1.06254 0.153 0.077 0.026
src13305 269.62509 1.60729 0.153 0.074 0.024
src13306 269.41789 1.60106 0.153 0.072 0.023
src13307 269.65354 1.51966 0.153 0.074 0.024
src13308 269.06232 1.48725 0.153 0.077 0.026
src13309 269.46395 1.00282 0.153 0.078 0.026
src13310 269.26238 1.69196 0.153 0.072 0.022
src13311 269.51718 1.48426 0.153 0.074 0.024
src13312 269.19616 1.50463 0.153 0.071 0.022
src13313 269.14301 1.16462 0.153 0.081 0.029
src13314 269.18076 1.68144 0.153 0.075 0.025
src13315 269.31662 1.66701 0.153 0.071 0.022
src13316 269.48585 1.09602 0.153 0.071 0.022
src13317 269.61811 1.18837 0.153 0.092 0.038
src13318 269.12555 1.07276 0.153 0.074 0.024
src13319 269.35509 1.68699 0.153 0.086 0.033
src13320 269.06049 1.62955 0.153 0.074 0.024
src13321 269.57371 1.16003 0.153 0.078 0.026
src13322 269.52234 1.14593 0.153 0.075 0.024
src13323 269.02943 1.50549 0.153 0.074 0.024
src13324 269.22367 1.13271 0.153 0.096 0.041
src13325 269.26279 1.29394 0.153 0.072 0.023
src13326 269.19287 1.57983 0.153 0.079 0.027
src13327 269.20283 1.23172 0.153 0.088 0.034
src13328 269.18366 1.12771 0.153 0.079 0.028
src13329 269.27771 1.62055 0.153 0.077 0.026
src13330 269.32884 1.40135 0.153 0.072 0.023
src13331 269.07513 1.04897 0.153 0.078 0.027
src13332 269.54298 1.59426 0.153 0.073 0.023
src13333 269.38724 1.64799 0.153 0.087 0.033
src13334 269.04606 1.60522 0.153 0.071 0.022
src13335 269.08676 1.15617 0.153 0.081 0.029
src13336 269.47937 1.46510 0.153 0.071 0.022
src13337 269.28559 1.59784 0.153 0.084 0.031
src13338 269.16632 1.54980 0.153 0.073 0.023
src13339 269.18307 1.69645 0.153 0.077 0.026
src13340 269.04455 1.45673 0.153 0.073 0.023
src13341 269.02504 1.00151 0.153 0.073 0.023
src13342 269.31965 1.65069 0.153 0.072 0.023
src13343 269.23115 1.30062 0.153 0.080 0.028
src13344 269.51291 1.46052 0.153 0.080 0.028
src13345 269.58060 1.54879 0.153 0.093 0.038
src13346 269.18857 1.57821 0.153 0.073 0.023
src13347 269.44446 1.63868 0.153 0.081 0.029
src13348 269.62631 1.37524 0.153 0.075 0.025
src13349 269.01222 1.70926 0.153 0.078 0.027
src13350 269.67227 1.11811 0.153 0.078 0.027
src13351 269.26400 1.50077 0.153 0.074 0.024
src13352 269.22007 1.14385 0.153 0.076 0.025
src13353 269.40111 1.31767 0.153 0.079 0.027
src13354 269.56608 1.40575 0.153 0.072 0.022
src13355 269.62018 1.45778 0.153 0.092 0.038
src13356 269.52614 1.30423 0.153 0.096 0.040
src13357 269.46395 1.20214 0.153 0.076 0.026
src13358 269.64287 1.54233 0.153 0.079 0.027
src13359 269.50857 1.65402 0.153 0.072 0.023
src13360 269.32137 1.50615 0.153 0.075 0.025
src13361 269.14298 1.23433 0.153 0.076 0.025
src13362 269.25558 1.10521 0.153 0.074 0.024
src13363 269.38049 1.45793 0.153 0.077 0.026
src13364 269.10363 1.26681 0.153 0.071 0.022
src13365 269.15223 1.39136 0.153 0.072 0.023
src13366 269.07247 1.59414 0.153 0.087 0.033
src13367 269.63530 1.58512 0.153 0.071 0.022
src13368 269.31032 1.39434 0.153 0.071 0.022
src13369 269.70988 1.63231 0.153 0.071 0.022
src13370 269.61887 1.70556 0.153 0.082 0.029
src13371 269.55314 1.23111 0.153 0.078 0.027
src13372 269.38081 1.44006 0.153 0.077 0.026
src13373 269.10814 1.08166 0.152 0.080 0.029
src13374 269.34730 1.55562 0.152 0.077 0.026
src13375 269.24162 1.09727 0.152 0.072 0.023
src13376 269.23044 1.29374 0.152 0.070 0.022
src13377 269.58251 1.36535 0.152 0.071 0.022
src13378 269.52868 1.22767 0.152 0.076 0.026
src13379 269.02589 1.56035 0.152 0.083 0.031
src13380 269.02601 1.29079 0.152 0.077 0.026
src13381 269.63616 1.32861 0.152 0.073 0.024
src13382 269.28686 1.59410 0.152 0.073 0.023
src13383 269.00226 1.08165 0.152 0.078 0.027
src13384 269.28217 1.29306 0.152 0.073 0.024
src13385 269.08674 1.55847 0.152 0.075 0.025
src13386 269.54530 1.35649 0.152 0.091 0.036
src13387 269.19195 1.64565 0.152 0.090 0.036
src13388 269.65774 1.31708 0.152 0.075 0.025
src13389 269.49664 1.64313 0.152 0.072 0.023
src13390 269.19287 1.44804 0.152 0.076 0.026
src13391 269.23318 1.42484 0.152 0.084 0.032
src13392 269.41536 1.06201 0.152 0.085 0.032
src13393 269.07734 1.34323 0.152 0.074 0.024
src13394 269.52717 1.32656 0.152 0.088 0.034
src13395 269.69423 1.60166 0.152 0.073 0.024
src13396 269.18535 1.06499 0.152 0.073 0.024
src13397 269.00423 1.03989 0.152 0.073 0.024
src13398 269.46752 1.10379 0.152 0.074 0.024
src13399 269.60464 1.42829 0.152 0.072 0.023
src13400 269.12714 1.28037 0.152 0.071 0.022
src13401 269.47197 1.10600 0.152 0.071 0.022
src13402 269.63654 1.68559 0.152 0.072 0.023
src13403 269.48471 1.42141 0.152 0.072 0.023
src13404 269.67034 1.62429 0.152 0.071 0.022
src13405 269.34060 1.67570 0.152 0.070 0.022
src13406 269.23928 1.15980 0.152 0.074 0.024
src13407 269.49845 1.19660 0.152 0.074 0.024
src13408 269.58089 1.12588 0.152 0.071 0.022
src13409 269.43844 1.31912 0.152 0.077 0.027
src13410 269.11466 1.45095 0.152 0.074 0.024
src13411 269.16057 1.18212 0.152 0.082 0.030
src13412 269.11670 1.67301 0.152 0.083 0.031
src13413 269.63080 1.12274 0.152 0.071 0.022
src13414 269.35750 1.60615 0.152 0.071 0.022
src13415 269.17839 1.06926 0.152 0.080 0.029
src13416 269.49232 1.00045 0.152 0.074 0.024
src13417 269.60690 1.41609 0.152 0.072 0.023
src13418 269.36176 1.42699 0.152 0.075 0.025
src13419 269.57189 1.47907 0.152 0.071 0.022
src13420 269.67596 1.61368 0.152 0.072 0.023
src13421 269.10570 1.38903 0.152 0.075 0.025
src13422 269.32559 1.10339 0.152 0.080 0.029
src13423 269.56331 1.38409 0.152 0.071 0.022
src13424 269.29134 1.51014 0.152 0.072 0.023
src13425 269.16309 1.32765 0.152 0.073 0.024
src13426 269.57855 1.62504 0.152 0.089 0.035
src13427 269.47747 1.21341 0.152 0.076 0.026
src13428 269.16962 1.08146 0.152 0.078 0.027
src13429 269.42638 1.21236 0.152 0.082 0.030
src13430 269.56264 1.22360 0.152 0.072 0.023
src13431 269.12115 1.65426 0.152 0.073 0.024
src13432 269.00713 1.63794 0.152 0.087 0.034
src13433 269.17068 1.23581 0.152 0.072 0.023
src13434 269.27424 1.36380 0.152 0.074 0.024
src13435 269.19319 1.51223 0.152 0.078 0.027
src13436 269.34922 1.04977 0.152 0.090 0.036
src13437 269.34910 1.47678 0.152 0.073 0.023
src13438 269.31515 1.54760 0.152 0.077 0.027
src13439 269.24922 1.07884 0.152 0.071 0.023
src13440 269.21923 1.25678 0.152 0.079 0.028
src13441 269.61162 1.05806 0.152 0.081 0.029
src13442 269.24291 1.15572 0.152 0.071 0.022
src13443 269.10589 1.40281 0.152 0.081 0.029
src13444 269.65299 1.20184 0.152 0.075 0.025
src13445 269.58606 1.02452 0.152 0.081 0.029
src13446 269.25579 1.36713 0.152 0.072 0.023
src13447 269.67786 1.28837 0.152 0.072 0.023
src13448 269.05642 1.11294 0.152 0.071 0.023
src13449 269.62462 1.01318 0.152 0.095 0.040
src13450 269.69901 1.57413 0.152 0.078 0.027
src13451 269.31289 1.44080 0.152 0.090 0.036
src13452 269.34223 1.10378 0.152 0.084 0.032
src13453 269.36963 1.41747 0.152 0.074 0.024
src13454 269.66006 1.48398 0.152 0.093 0.038
src13455 269.58439 1.46344 0.152 0.094 0.040
src13456 269.12851 1.59892 0.152 0.072 0.023
src13457 269.64339 1.22770 0.152 0.083 0.030
src13458 269.04847 1.24807 0.151 0.083 0.031
src13459 269.38758 1.20654 0.151 0.072 0.023
src13460 269.01184 1.22985 0.151 0.074 0.025
src13461 269.24351 1.18005 0.151 0.072 0.023
src13462 269.32291 1.36878 0.151 0.078 0.027
src13463 269.38376 1.66489 0.151 0.072 0.023
src13464 269.66332 1.13441 0.151 0.071 0.022
src13465 269.30949 1.17185 0.151 0.082 0.030
src13466 269.48949 1.69913 0.151 0.072 0.023
src13467 269.17205 1.41457 0.151 0.085 0.033
src13468 269.18182 1.13243 0.151 0.070 0.022
src13469 269.38293 1.53917 0.151 0.075 0.025
src13470 269.55056 1.24015 0.151 0.082 0.030
src13471 269.24210 1.28306 0.151 0.077 0.026
src13472 269.30419 1.68881 0.151 0.070 0.022
src13473 269.40597 1.27546 0.151 0.073 0.023
src13474 269.34088 1.18330 0.151 0.079 0.028
src13475 269.61933 1.50579 0.151 0.075 0.025
src13476 269.05176 1.15642 0.151 0.092 0.037
src13477 269.21795 1.51142 0.151 0.078 0.027
src13478 269.51126 1.62066 0.151 0.071 0.023
src13479 269.10410 1.05384 0.151 0.071 0.022
src13480 269.25848 1.63797 0.151 0.076 0.025
src13481 269.56584 1.45869 0.151 0.074 0.024
src13482 269.50676 1.34157 0.151 0.071 0.023
src13483 269.13331 1.27208 0.151 0.075 0.025
src13484 269.23337 1.53529 0.151 0.070 0.022
src13485 269.01253 1.18715 0.151 0.074 0.024
src13486 269.09698 1.37049 0.151 0.070 0.022
src13487 269.14680 1.43332 0.151 0.092 0.038
src13488 269.54899 1.65888 0.151 0.083 0.031
src13489 269.02678 1.57916 0.151 0.084 0.031
src13490 269.65709 1.65330 0.151 0.072 0.023
src13491 269.53614 1.55004 0.151 0.075 0.025
src13492 269.18449 1.29665 0.151 0.075 0.025
src13493 269.31363 1.49562 0.151 0.083 0.031
src13494 269.41713 1.65903 0.151 0.072 0.023
src13495 269.65440 1.22517 0.151 0.073 0.024
src13496 269.51893 1.42155 0.151 0.074 0.024
src13497 269.43701 1.37970 0.151 0.071 0.022
src13498 269.02116 1.57071 0.151 0.073 0.023
src13499 269.66026 1.24112 0.151 0.074 0.025
src13500 269.69367 1.39435 0.151 0.075 0.025
src13501 269.25559 1.45835 0.151 0.077 0.027
src13502 269.06978 1.53572 0.151 0.096 0.041
src13503 269.30451 1.16524 0.151 0.076 0.026
src13504 269.04435 1.47519 0.151 0.072 0.023
src13505 269.44802 1.39893 0.151 0.081 0.029
src13506 269.30779 1.18912 0.151 0.072 0.023
src13507 269.15190 1.61276 0.151 0.071 0.022
src13508 269.17145 1.01722 0.151 0.077 0.027
src13509 269.04570 1.69143 0.151 0.075 0.025
src13510 269.18782 1.28867 0.151 0.099 0.044
src13511 269.04386 1.52486 0.151 0.075 0.025
src13512 269.49459 1.63282 0.151 0.090 0.036
src13513 269.04141 1.30033 0.151 0.080 0.029
src13514 269.19576 1.66233 0.151 0.071 0.023
src13515 269.54701 1.64218 0.151 0.074 0.024
src13516 269.18735 1.67188 0.151 0.079 0.028
src13517 269.19008 1.45983 0.151 0.074 0.025
src13518 269.64515 1.03246 0.151 0.077 0.027
src13519 269.20548 1.70861 0.151 0.077 0.026
src13520 269.24750 1.66694 0.151 0.070 0.022
src13521 269.44828 1.29278 0.151 0.079 0.028
src13522 269.39375 1.49430 0.151 0.072 0.023
src13523 269.18442 1.12862 0.151 0.081 0.029
src13524 269.25164 1.35412 0.151 0.079 0.028
src13525 269.09816 1.57479 0.151 0.073 0.024
src13526 269.41557 1.38767 0.151 0.091 0.037
src13527 269.27698 1.60659 0.151 0.096 0.041
src13528 269.54215 1.66557 0.151 0.083 0.031
src13529 269.66585 1.30618 0.151 0.090 0.036
src13530 269.29585 1.13516 0.151 0.082 0.030
src13531 269.39291 1.26094 0.151 0.071 0.023
src13532 269.65204 1.40206 0.151 0.075 0.025
src13533 269.70662 1.68591 0.151 0.070 0.022
src13534 269.46191 1.08512 0.151 0.073 0.024
src13535 269.32857 1.19204 0.151 0.074 0.024
src13536 269.21126 1.47330 0.151 0.072 0.023
src13537 269.65262 1.63758 0.151 0.075 0.025
src13538 269.41947 1.03990 0.150 0.075 0.025
src13539 269.64258 1.44522 0.150 0.086 0.033
src13540 269.56939 1.31054 0.150 0.079 0.028
src13541 269.41888 1.66256 0.150 0.071 0.023
src13542 269.22154 1.60978 0.150 0.077 0.027
src13543 269.29198 1.23948 0.150 0.071 0.023
src13544 269.38988 1.26983 0.150 0.070 0.022
src13545 269.22405 1.59570 0.150 0.072 0.023
src13546 269.35290 1.12929 0.150 0.072 0.023
src13547 269.29620 1.21299 0.150 0.076 0.026
src13548 269.63492 1.29824 0.150 0.072 0.023
src13549 269.33508 1.32628 0.150 0.069 0.022
src13550 269.16302 1.36937 0.150 0.080 0.029
src13551 269.41087 1.37542 0.150 0.071 0.022
src13552 269.04339 1.32024 0.150 0.071 0.023
src13553 269.66629 1.57992 0.150 0.075 0.025
src13554 269.41596 1.51109 0.150 0.071 0.022
src13555 269.52310 1.16985 0.150 0.070 0.022
src13556 269.31800 1.03374 0.150 0.077 0.027
src13557 269.00465 1.36796 0.150 0.073 0.024
src13558 269.70739 1.34178 0.150 0.077 0.026
src13559 269.24170 1.60582 0.150 0.074 0.024
src13560 269.66713 1.29818 0.150 0.075 0.025
src13561 269.21866 1.53283 0.150 0.071 0.022
src13562 269.43344 1.18348 0.150 0.072 0.023
src13563 269.69363 1.62682 0.150 0.083 0.031
src13564 269.21941 1.32808 0.150 0.084 0.032
src13565 269.59204 1.57054 0.150 0.075 0.025
src13566 269.51179 1.30207 0.150 0.074 0.025
src13567 269.27138 1.23484 0.150 0.071 0.023
src13568 269.54298 1.38001 0.150 0.071 0.023
src13569 269.12921 1.69397 0.150 0.074 0.025
src13570 269.39652 1.30857 0.150 0.071 0.022
src13571 269.37128 1.28855 0.150 0.091 0.037
src13572 269.13878 1.23451 0.150 0.074 0.025
src13573 269.37392 1.31994 0.150 0.071 0.023
src13574 269.18288 1.35705 0.150 0.092 0.038
src13575 269.17975 1.14047 0.150 0.069 0.021
src13576 269.18508 1.04446 0.150 0.070 0.022
src13577 269.44202 1.45227 0.150 0.071 0.023
src13578 269.05672 1.50324 0.150 0.074 0.024
src13579 269.50462 1.53068 0.150 0.071 0.022
src13580 269.35268 1.51812 0.150 0.075 0.025
src13581 269.48552 1.18836 0.150 0.091 0.037
src13582 269.18118 1.02824 0.150 0.078 0.027
src13583 269.64670 1.59652 0.150 0.073 0.024
src13584 269.02950 1.48772 0.150 0.083 0.031
src13585 269.51510 1.40275 0.150 0.069 0.022
src13586 269.30348 1.36497 0.150 0.086 0.033
src13587 269.20019 1.48710 0.150 0.086 0.033
src13588 269.49130 1.16286 0.150 0.073 0.024
src13589 269.33331 1.04982 0.150 0.075 0.025
src13590 269.29397 1.14969 0.150 0.091 0.037
src13591 269.26820 1.54604 0.150 0.070 0.022
src13592 269.54827 1.31475 0.150 0.079 0.028
src13593 269.02534 1.31853 0.150 0.078 0.027
src13594 269.59414 1.23005 0.150 0.071 0.023
src13595 269.04765 1.35788 0.150 0.090 0.037
src13596 269.40184 1.11073 0.150 0.079 0.028
src13597 269.32009 1.21958 0.150 0.070 0.022
src13598 269.67211 1.64459 0.150 0.102 0.047
src13599 269.59380 1.39555 0.150 0.078 0.027
src13600 269.66700 1.25946 0.150 0.079 0.028
src13601 269.54839 1.56675 0.150 0.072 0.023
src13602 269.03405 1.47101 0.150 0.075 0.025
src13603 269.15295 1.48289 0.150 0.072 0.023
src13604 269.55800 1.64030 0.150 0.071 0.023
src13605 269.52306 1.19418 0.150 0.073 0.024
src13606 269.64809 1.24650 0.150 0.070 0.022
src13607 269.57767 1.61007 0.150 0.073 0.024
src13608 269.05312 1.17908 0.150 0.069 0.021
src13609 269.14600 1.24599 0.150 0.079 0.028
src13610 269.12401 1.35668 0.150 0.076 0.026
src13611 269.12184 1.33785 0.150 0.074 0.025
src13612 269.15371 1.21422 0.150 0.070 0.022
src13613 269.01931 1.30265 0.150 0.073 0.024
src13614 269.31293 1.04042 0.150 0.083 0.031
src13615 269.27984 1.33178 0.150 0.092 0.038
src13616 269.28233 1.64562 0.150 0.081 0.029
src13617 269.18285 1.31740 0.150 0.078 0.027
src13618 269.63468 1.51859 0.150 0.073 0.024
src13619 269.13496 1.10998 0.150 0.069 0.022
src13620 269.32122 1.19414 0.150 0.080 0.029
src13621 269.60101 1.08699 0.150 0.072 0.023
src13622 269.49220 1.53445 0.150 0.078 0.028
src13623 269.55753 1.18494 0.150 0.085 0.032
src13624 269.15210 1.43563 0.150 0.073 0.024
src13625 269.47968 1.70167 0.149 0.103 0.048
src13626 269.25087 1.04681 0.149 0.072 0.023
src13627 269.58236 1.49775 0.149 0.070 0.022
src13628 269.45595 1.04770 0.149 0.077 0.027
src13629 269.46039 1.02257 0.149 0.075 0.026
src13630 269.43303 1.68526 0.149 0.072 0.023
src13631 269.06538 1.53166 0.149 0.073 0.024
src13632 269.69906 1.25410 0.149 0.071 0.022
src13633 269.41327 1.35222 0.149 0.073 0.024
src13634 269.63038 1.19947 0.149 0.070 0.022
src13635 269.34148 1.54651 0.149 0.070 0.022
src13636 269.65465 1.38349 0.149 0.073 0.024
src13637 269.24894 1.39362 0.149 0.076 0.026
src13638 269.63022 1.54727 0.149 0.073 0.024
src13639 269.36435 1.32655 0.149 0.071 0.023
src13640 269.19375 1.17828 0.149 0.073 0.024
src13641 269.55796 1.17993 0.149 0.087 0.034
src13642 269.44867 1.54796 0.149 0.074 0.025
src13643 269.44239 1.45267 0.149 0.073 0.024
src13644 269.36087 1.50649 0.149 0.071 0.023
src13645 269.63143 1.13753 0.149 0.072 0.023
src13646 269.09895 1.19829 0.149 0.081 0.030
src13647 269.33190 1.43752 0.149 0.071 0.023
src13648 269.63814 1.69460 0.149 0.070 0.022
src13649 269.40778 1.62554 0.149 0.070 0.022
src13650 269.56653 1.17257 0.149 0.069 0.022
src13651 269.02411 1.20080 0.149 0.069 0.022
src13652 269.68761 1.58072 0.149 0.092 0.038
src13653 269.64156 1.01058 0.149 0.073 0.024
src13654 269.26131 1.10403 0.149 0.071 0.023
src13655 269.21708 1.18530 0.149 0.073 0.024
src13656 269.43791 1.18296 0.149 0.069 0.022
src13657 269.53785 1.04529 0.149 0.076 0.026
src13658 269.38556 1.51785 0.149 0.073 0.024
src13659 269.67639 1.53495 0.149 0.082 0.030
src13660 269.12735 1.24359 0.149 0.071 0.023
src13661 269.07434 1.02413 0.149 0.079 0.028
src13662 269.19045 1.65836 0.149 0.070 0.022
src13663 269.32006 1.36715 0.149 0.086 0.033
src13664 269.46719 1.13831 0.149 0.071 0.023
src13665 269.40123 1.38016 0.149 0.079 0.028
src13666 269.51835 1.29882 0.149 0.077 0.027
src13667 269.01621 1.25287 0.149 0.071 0.023
src13668 269.62851 1.57327 0.149 0.080 0.029
src13669 269.62982 1.55067 0.149 0.073 0.024
src13670 269.59745 1.11791 0.149 0.071 0.023
src13671 269.50181 1.19073 0.149 0.072 0.024
src13672 269.48584 1.42942 0.149 0.081 0.029
src13673 269.54945 1.57319 0.149 0.070 0.022
src13674 269.70325 1.21723 0.149 0.069 0.021
src13675 269.17021 1.53652 0.149 0.079 0.028
src13676 269.45994 1.56457 0.149 0.074 0.025
src13677 269.24546 1.60886 0.149 0.075 0.025
src13678 269.05969 1.02771 0.149 0.075 0.025
src13679 269.67537 1.43535 0.149 0.088 0.035
src13680 269.10924 1.30485 0.149 0.072 0.024
src13681 269.32386 1.44204 0.149 0.070 0.022
src13682 269.40368 1.36059 0.149 0.069 0.021
src13683 269.19363 1.07355 0.149 0.070 0.022
src13684 269.39124 1.32549 0.149 0.071 0.022
src13685 269.09884 1.23698 0.149 0.072 0.024
src13686 269.38840 1.41815 0.149 0.070 0.022
src13687 269.67742 1.69605 0.149 0.071 0.023
src13688 269.20085 1.41697 0.149 0.078 0.028
src13689 269.47544 1.38884 0.149 0.070 0.022
src13690 269.20508 1.30629 0.149 0.074 0.025
src13691 269.28518 1.26113 0.149 0.076 0.026
src13692 269.51210 1.63240 0.149 0.069 0.021
src13693 269.08263 1.00076 0.149 0.075 0.025
src13694 269.56282 1.09293 0.149 0.078 0.028
src13695 269.46588 1.33992 0.149 0.069 0.022
src13696 269.42314 1.28270 0.149 0.077 0.027
src13697 269.48973 1.10885 0.149 0.069 0.022
src13698 269.47597 1.36001 0.149 0.076 0.026
src13699 269.38286 1.35967 0.149 0.071 0.023
src13700 269.42734 1.37880 0.149 0.083 0.031
src13701 269.26617 1.13833 0.149 0.084 0.032
src13702 269.06278 1.35728 0.149 0.076 0.026
src13703 269.12271 1.28490 0.149 0.074 0.024
src13704 269.68258 1.32886 0.149 0.073 0.024
src13705 269.28729 1.11461 0.149 0.082 0.031
src13706 269.56239 1.01496 0.149 0.070 0.022
src13707 269.36186 1.17337 0.149 0.074 0.024
src13708 269.68936 1.39687 0.149 0.071 0.023
src13709 269.36018 1.09897 0.149 0.071 0.023
src13710 269.59207 1.01891 0.149 0.070 0.022
src13711 269.67498 1.00324 0.149 0.070 0.022
src13712 269.21586 1.10286 0.149 0.071 0.023
src13713 269.04831 1.25023 0.149 0.072 0.023
src13714 269.69092 1.67535 0.149 0.071 0.023
src13715 269.45392 1.34359 0.149 0.069 0.021
src13716 269.35618 1.07477 0.148 0.072 0.024
src13717 269.39042 1.64068 0.148 0.069 0.021
src13718 269.35604 1.22189 0.148 0.076 0.026
src13719 269.45452 1.11969 0.148 0.071 0.023
src13720 269.70080 1.04361 0.148 0.083 0.031
src13721 269.43057 1.10594 0.148 0.074 0.025
src13722 269.30754 1.64797 0.148 0.070 0.022
src13723 269.48979 1.08802 0.148 0.070 0.022
src13724 269.24237 1.09059 0.148 0.093 0.040
src13725 269.31331 1.38944 0.148 0.074 0.025
src13726 269.67031 1.57469 0.148 0.073 0.024
src13727 269.33142 1.68785 0.148 0.077 0.027
src13728 269.29200 1.18874 0.148 0.069 0.022
src13729 269.15520 1.64347 0.148 0.094 0.040
src13730 269.10767 1.62082 0.148 0.074 0.025
src13731 269.52758 1.64540 0.148 0.070 0.022
src13732 269.03760 1.32192 0.148 0.076 0.026
src13733 269.65582 1.15436 0.148 0.076 0.026
src13734 269.29247 1.33586 0.148 0.089 0.036
src13735 269.16713 1.56228 0.148 0.073 0.024
src13736 269.62657 1.01990 0.148 0.070 0.022
src13737 269.40436 1.08778 0.148 0.073 0.024
src13738 269.31092 1.48589 0.148 0.072 0.023
src13739 269.63746 1.35069 0.148 0.083 0.031
src13740 269.21206 1.38336 0.148 0.071 0.023
src13741 269.68950 1.33119 0.148 0.069 0.021
src13742 269.58169 1.04426 0.148 0.070 0.022
src13743 269.00275 1.30981 0.148 0.068 0.021
src13744 269.10814 1.35576 0.148 0.071 0.023
src13745 269.44913 1.12128 0.148 0.078 0.027
src13746 269.18929 1.23307 0.148 0.089 0.036
src13747 269.14397 1.31194 0.148 0.075 0.026
src13748 269.28309 1.13884 0.148 0.073 0.024
src13749 269.49117 1.32092 0.148 0.090 0.037
src13750 269.00561 1.53535 0.148 0.072 0.024
src13751 269.59853 1.66593 0.148 0.072 0.024
src13752 269.63230 1.52473 0.148 0.070 0.022
src13753 269.63603 1.56722 0.148 0.075 0.026
src13754 269.30517 1.07881 0.148 0.078 0.028
src13755 269.02866 1.65357 0.148 0.068 0.021
src13756 269.04114 1.25433 0.148 0.072 0.023
src13757 269.03242 1.06468 0.148 0.070 0.022
src13758 269.51976 1.02275 0.148 0.096 0.042
src13759 269.66779 1.19070 0.148 0.080 0.029
src13760 269.18170 1.68629 0.148 0.080 0.029
src13761 269.62979 1.53094 0.148 0.072 0.024
src13762 269.12579 1.36180 0.148 0.070 0.022
src13763 269.35245 1.19546 0.148 0.069 0.022
src13764 269.57441 1.16918 0.148 0.071 0.023
src13765 269.12772 1.00926 0.148 0.079 0.028
src13766 269.41712 1.05141 0.148 0.070 0.022
src13767 269.70318 1.09279 0.148 0.074 0.025
src13768 269.63851 1.70284 0.148 0.084 0.032
src13769 269.19469 1.08538 0.148 0.074 0.025
src13770 269.45882 1.44457 0.148 0.080 0.030
src13771 269.22335 1.53160 0.148 0.083 0.032
src13772 269.26425 1.01103 0.148 0.081 0.030
src13773 269.41181 1.35831 0.148 0.070 0.022
src13774 269.36610 1.07922 0.148 0.073 0.024
src13775 269.13619 1.27444 0.148 0.069 0.021
src13776 269.40873 1.19414 0.148 0.069 0.021
src13777 269.20704 1.59597 0.148 0.072 0.024
src13778 269.13410 1.37331 0.148 0.075 0.026
src13779 269.37205 1.44369 0.148 0.070 0.022
src13780 269.05764 1.31025 0.148 0.073 0.024
src13781 269.59710 1.46559 0.148 0.077 0.027
src13782 269.61290 1.25726 0.148 0.070 0.022
src13783 269.41897 1.13240 0.148 0.091 0.038
src13784 269.27557 1.60648 0.148 0.071 0.023
src13785 269.25145 1.10002 0.148 0.070 0.023
src13786 269.22848 1.46150 0.148 0.077 0.027
src13787 269.39832 1.55584 0.148 0.077 0.027
src13788 269.35891 1.17910 0.148 0.086 0.034
src13789 269.07559 1.23771 0.148 0.076 0.027
src13790 269.05875 1.38402 0.148 0.085 0.033
src13791 269.61304 1.39829 0.148 0.071 0.023
src13792 269.68997 1.57882 0.148 0.072 0.024
src13793 269.66971 1.20589 0.147 0.079 0.028
