# name ra dec flux_a1100 flux_a1400 flux_a2000
src304 269.68284 1.44927 1.793 0.981 0.361
src305 269.04957 1.38622 1.791 0.917 0.316
src306 269.19181 1.21406 1.789 0.933 0.327
src307 269.65334 1.57148 1.786 0.923 0.321
src308 269.38299 1.23575 1.785 0.902 0.306
src309 269.05274 1.58353 1.780 0.884 0.295
src310 269.14243 1.69627 1.778 0.891 0.300
src311 269.17554 1.57205 1.776 0.935 0.331
src312 269.25923 1.36582 1.772 0.913 0.316
src313 269.12542 1.30902 1.767 0.840 0.268
src314 269.17086 1.19060 1.767 0.856 0.278
src315 269.10750 1.59192 1.761 0.946 0.342
src316 269.66788 1.12659 1.761 0.940 0.338
src317 269.55461 1.05444 1.757 0.827 0.261
src318 269.09621 1.44008 1.757 0.859 0.282
src319 269.32110 1.03991 1.752 0.916 0.322
src320 269.64709 1.34967 1.751 0.874 0.293
src321 269.44124 1.05603 1.751 0.816 0.255
src322 269.02756 1.38298 1.747 0.831 0.265
src323 269.66690 1.27493 1.746 1.034 0.413
src324 269.38973 1.68510 1.744 0.809 0.252
src325 269.59001 1.03879 1.741 0.821 0.260
src326 269.14035 1.09695 1.739 0.839 0.272
src327 269.46642 1.02570 1.739 0.874 0.295
src328 269.24900 1.63370 1.737 0.847 0.278
src329 269.11506 1.19896 1.731 0.807 0.252
src330 269.05677 1.21767 1.727 0.880 0.302
src331 269.05194 1.47926 1.727 0.888 0.307
src332 269.04644 1.16733 1.722 0.842 0.277
src333 269.36779 1.03098 1.721 0.825 0.266
src334 269.18456 1.45797 1.721 0.904 0.320
src335 269.11898 1.58826 1.718 0.850 0.283
src336 269.52925 1.66724 1.717 0.821 0.264
src337 269.25313 1.08083 1.717 0.887 0.308
src338 269.26828 1.60347 1.708 0.828 0.270
src339 269.02147 1.02782 1.706 0.900 0.320
src340 269.49960 1.53468 1.705 0.835 0.275
src341 269.15222 1.43818 1.702 0.912 0.329
src342 269.22694 1.03598 1.698 0.896 0.318
src343 269.18239 1.05195 1.691 0.861 0.295
src344 269.55879 1.69636 1.690 0.825 0.271
src345 269.48884 1.61510 1.686 0.818 0.267
src346 269.30836 1.04653 1.683 0.858 0.294
src347 269.53510 1.66476 1.682 0.850 0.288
src348 269.55442 1.18365 1.682 0.858 0.295
src349 269.43757 1.43868 1.675 0.832 0.277
src350 269.20803 1.48469 1.675 0.952 0.364
src351 269.24461 1.65789 1.672 0.823 0.272
src352 269.69523 1.16494 1.672 0.882 0.313
src353 269.12719 1.52957 1.671 0.817 0.268
src354 269.27577 1.68844 1.670 0.913 0.336
src355 269.11163 1.66359 1.667 0.867 0.303
src356 269.61984 1.54970 1.666 0.865 0.302
src357 269.06831 1.66199 1.666 0.844 0.287
src358 269.33593 1.13877 1.662 0.897 0.326
src359 269.46133 1.34016 1.662 0.844 0.288
src360 269.05161 1.44875 1.661 0.773 0.241
src361 269.62754 1.37163 1.660 0.754 0.229
src362 269.22264 1.18589 1.658 0.884 0.317
src363 269.18499 1.09822 1.655 0.781 0.247
src364 269.67604 1.65930 1.653 0.781 0.248
src365 269.69153 1.28862 1.652 0.812 0.268
src366 269.08305 1.40215 1.652 0.854 0.297
src367 269.60000 1.65087 1.650 0.954 0.372
src368 269.57363 1.14986 1.649 0.831 0.282
src369 269.22902 1.58092 1.648 0.818 0.273
src370 269.64763 1.40571 1.642 0.797 0.260
src371 269.51319 1.01255 1.642 0.855 0.299
src372 269.07097 1.42982 1.640 0.853 0.298
src373 269.25448 1.04627 1.640 0.797 0.260
src374 269.55474 1.39107 1.635 0.833 0.285
src375 269.51451 1.06751 1.635 0.804 0.265
src376 269.07577 1.19320 1.631 0.814 0.273
src377 269.16805 1.55592 1.627 0.808 0.270
src378 269.56265 1.56240 1.624 0.822 0.280
src379 269.58328 1.07795 1.617 0.798 0.265
src380 269.14532 1.36310 1.616 0.761 0.240
src381 269.62813 1.28563 1.616 0.864 0.311
src382 269.47863 1.50209 1.614 0.981 0.402
src383 269.07814 1.50258 1.614 0.764 0.243
src384 269.11089 1.10670 1.613 0.757 0.238
src385 269.52752 1.37949 1.612 0.806 0.271
src386 269.00584 1.45780 1.612 0.843 0.297
src387 269.45252 1.10037 1.610 0.745 0.231
src388 269.27354 1.49602 1.608 0.748 0.234
src389 269.27999 1.00358 1.607 0.801 0.268
src390 269.66194 1.65723 1.605 0.763 0.243
src391 269.25117 1.30271 1.604 0.812 0.276
src392 269.61960 1.12191 1.604 0.784 0.257
src393 269.06655 1.59728 1.602 0.848 0.302
src394 269.32230 1.22974 1.600 0.744 0.232
src395 269.42711 1.19653 1.582 0.780 0.258
src396 269.31402 1.19053 1.582 0.788 0.264
src397 269.69904 1.56810 1.575 0.792 0.268
src398 269.22215 1.58643 1.573 0.762 0.248
src399 269.09863 1.15438 1.569 0.773 0.256
src400 269.38011 1.52588 1.562 0.781 0.263
src401 269.18449 1.60085 1.556 0.761 0.250
src402 269.27659 1.27534 1.553 0.862 0.322
src403 269.18266 1.16513 1.552 0.801 0.278
src404 269.56056 1.26805 1.551 0.846 0.311
src405 269.43313 1.68907 1.550 0.749 0.243
src406 269.36572 1.45884 1.549 0.875 0.333
src407 269.36889 1.44134 1.549 0.861 0.323
src408 269.01871 1.64277 1.548 0.751 0.245
src409 269.61171 1.15729 1.548 0.789 0.271
src410 269.02323 1.42929 1.545 0.751 0.245
src411 269.32599 1.31453 1.545 0.705 0.216
src412 269.40148 1.64633 1.543 0.732 0.233
src413 269.10112 1.60033 1.538 0.802 0.281
src414 269.08812 1.36035 1.537 0.755 0.249
src415 269.59143 1.25872 1.537 0.736 0.237
src416 269.44098 1.64415 1.536 0.748 0.245
src417 269.06410 1.15163 1.535 0.755 0.250
src418 269.53001 1.66410 1.535 0.753 0.248
src419 269.23731 1.05738 1.533 0.716 0.224
src420 269.28473 1.23214 1.528 0.817 0.294
src421 269.12695 1.60595 1.528 0.814 0.292
src422 269.49263 1.23241 1.527 0.752 0.249
src423 269.46955 1.55669 1.527 0.723 0.230
src424 269.52843 1.36602 1.527 0.743 0.243
src425 269.18599 1.66286 1.526 0.767 0.259
src426 269.48047 1.36247 1.524 0.753 0.250
src427 269.66555 1.04971 1.522 0.720 0.228
src428 269.70579 1.60650 1.521 0.699 0.215
src429 269.12818 1.23273 1.519 0.741 0.243
src430 269.16853 1.47256 1.517 0.827 0.304
src431 269.53133 1.27668 1.517 0.775 0.266
src432 269.70010 1.46254 1.514 0.693 0.213
src433 269.00353 1.31982 1.510 0.775 0.268
src434 269.66720 1.12700 1.509 0.738 0.243
src435 269.50715 1.53847 1.506 0.738 0.243
src436 269.34461 1.18397 1.506 0.737 0.242
src437 269.29017 1.32996 1.505 0.742 0.246
src438 269.37453 1.20868 1.504 0.735 0.242
src439 269.68181 1.65588 1.501 0.853 0.327
src440 269.58871 1.49717 1.500 0.714 0.228
src441 269.03946 1.44924 1.500 0.716 0.230
src442 269.56072 1.03792 1.500 0.786 0.277
src443 269.42681 1.22697 1.500 0.782 0.275
src444 269.16606 1.48973 1.497 0.711 0.227
src445 269.26848 1.32973 1.497 0.758 0.258
src446 269.55599 1.37619 1.497 0.701 0.220
src447 269.10833 1.33983 1.494 0.745 0.250
src448 269.59956 1.23587 1.494 0.703 0.222
src449 269.15649 1.06556 1.494 0.738 0.245
src450 269.50594 1.49882 1.489 0.741 0.248
src451 269.07438 1.60437 1.488 0.721 0.235
src452 269.28430 1.44795 1.487 0.822 0.306
src453 269.34562 1.55078 1.487 0.732 0.242
src454 269.29304 1.35739 1.486 0.807 0.295
src455 269.51549 1.31731 1.485 0.726 0.238
src456 269.15888 1.68498 1.482 0.753 0.257
src457 269.27384 1.19928 1.480 0.696 0.219
src458 269.43611 1.38279 1.480 0.777 0.274
src459 269.29760 1.28108 1.479 0.761 0.263
src460 269.36882 1.45589 1.478 0.724 0.238
src461 269.58647 1.52909 1.474 0.868 0.345
src462 269.38984 1.70324 1.473 0.694 0.220
src463 269.59104 1.21665 1.473 0.772 0.272
src464 269.35677 1.32574 1.472 0.755 0.260
src465 269.22925 1.49169 1.472 0.729 0.243
src466 269.60449 1.01709 1.471 0.687 0.216
src467 269.15784 1.23903 1.469 0.768 0.270
src468 269.02531 1.17515 1.463 0.712 0.233
src469 269.37058 1.29675 1.461 0.737 0.250
src470 269.59340 1.55321 1.460 0.714 0.235
src471 269.36275 1.38129 1.459 0.665 0.203
src472 269.35236 1.63314 1.459 0.726 0.243
src473 269.19489 1.65097 1.458 0.715 0.235
src474 269.10437 1.51592 1.458 0.807 0.301
src475 269.35602 1.08870 1.458 0.761 0.267
src476 269.55881 1.70839 1.457 0.717 0.237
src477 269.08988 1.41011 1.456 0.692 0.220
src478 269.40844 1.10392 1.456 0.773 0.277
src479 269.31118 1.62853 1.456 0.707 0.231
src480 269.54447 1.70325 1.455 0.721 0.240
src481 269.08123 1.24367 1.452 0.924 0.397
src482 269.63170 1.03680 1.451 0.677 0.212
src483 269.30087 1.65633 1.450 0.716 0.237
src484 269.47360 1.05547 1.447 0.824 0.316
src485 269.50679 1.63669 1.447 0.747 0.260
src486 269.21311 1.48273 1.444 0.957 0.428
src487 269.16674 1.40241 1.442 0.814 0.309
src488 269.13855 1.08995 1.441 0.764 0.273
src489 269.38470 1.61993 1.440 0.848 0.337
src490 269.27767 1.60088 1.440 0.724 0.245
src491 269.17347 1.13556 1.439 0.703 0.231
src492 269.57263 1.35630 1.438 0.799 0.299
src493 269.12529 1.14088 1.438 0.777 0.282
src494 269.19878 1.06544 1.437 0.726 0.247
src495 269.43293 1.11798 1.436 0.727 0.248
src496 269.68103 1.57638 1.434 0.816 0.313
src497 269.64364 1.58582 1.432 0.682 0.218
src498 269.36683 1.62169 1.426 0.698 0.230
src499 269.29934 1.18285 1.424 0.744 0.262
src500 269.24646 1.10844 1.424 0.686 0.222
src501 269.36302 1.69022 1.424 0.718 0.243
src502 269.42620 1.10419 1.424 0.698 0.230
src503 269.64030 1.66972 1.422 0.686 0.222
src504 269.50974 1.61715 1.421 0.739 0.259
src505 269.63354 1.20784 1.417 0.712 0.241
src506 269.34152 1.50239 1.414 0.720 0.247
src507 269.50486 1.20435 1.413 0.687 0.225
src508 269.53307 1.37206 1.411 0.676 0.218
src509 269.08223 1.57233 1.411 0.736 0.259
src510 269.06685 1.01501 1.411 0.693 0.229
src511 269.32429 1.47192 1.410 0.665 0.210
src512 269.18641 1.25113 1.409 0.792 0.300
src513 269.43574 1.13525 1.407 0.666 0.212
src514 269.51924 1.67715 1.405 0.713 0.244
src515 269.57764 1.49993 1.405 0.672 0.216
src516 269.21512 1.07456 1.404 0.702 0.236
src517 269.29978 1.10070 1.403 0.679 0.221
src518 269.60575 1.15744 1.400 0.741 0.264
src519 269.26897 1.70166 1.399 0.672 0.217
src520 269.13166 1.60055 1.397 0.646 0.200
src521 269.52985 1.50996 1.391 0.693 0.232
src522 269.24832 1.48152 1.391 0.670 0.217
src523 269.17768 1.12635 1.390 0.747 0.270
src524 269.08738 1.68019 1.390 0.777 0.292
src525 269.11179 1.36245 1.388 0.688 0.229
src526 269.34059 1.66841 1.388 0.674 0.220
src527 269.04105 1.24397 1.387 0.685 0.228
src528 269.51586 1.13762 1.386 0.657 0.209
src529 269.08671 1.28083 1.385 0.674 0.220
src530 269.48332 1.08976 1.385 0.702 0.240
src531 269.06617 1.05403 1.384 0.683 0.227
src532 269.22389 1.07129 1.384 0.764 0.284
src533 269.00927 1.19714 1.384 0.700 0.238
src534 269.70828 1.07081 1.383 0.700 0.238
src535 269.66156 1.61407 1.383 0.715 0.248
src536 269.31029 1.39545 1.382 0.736 0.264
src537 269.66678 1.44787 1.380 0.788 0.304
src538 269.31636 1.70433 1.378 0.647 0.204
src539 269.15766 1.09446 1.376 0.638 0.198
src540 269.53479 1.40158 1.374 0.709 0.246
src541 269.24803 1.56154 1.373 0.819 0.329
src542 269.27088 1.06806 1.373 0.685 0.230
src543 269.60226 1.26521 1.369 0.652 0.209
src544 269.36199 1.21329 1.367 0.689 0.233
src545 269.16643 1.02962 1.367 0.733 0.265
src546 269.31846 1.36702 1.365 0.685 0.231
src547 269.22863 1.07533 1.364 0.664 0.217
src548 269.44112 1.07265 1.364 0.769 0.292
src549 269.30898 1.42077 1.364 0.723 0.258
